Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
1/1/19,45,PM2.5,MASPETH LIBRARY,36-081-0120,AQS,6,30,.,45,38
1/2/19,64,PM2.5,PS 19,36-061-0128,AQS,7,29,.,64,32
1/3/19,54,PM2.5,PS 19,36-061-0128,AQS,6,26,11,54,37
1/4/19,60,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,20,.,60,34
1/5/19,50,PM2.5,DIVISION STREET,36-061-0134,AQS,9,26,.,50,31
1/6/19,51,PM2.5,DIVISION STREET,36-061-0134,AQS,7,33,6,51,23
1/7/19,44,NO2,Newark Firehouse,34-013-0003,AQS,7,33,.,36,44
1/8/19,75,PM2.5,Fort Lee Near Road,34-003-0010,AQS,14,29,.,75,67
1/9/19,38,PM2.5,PS 314,36-047-0052,AQS,9,27,8,38,33
1/10/19,42,PM2.5,Intermediate School 143,36-061-0115,AQS,6,33,.,42,19
1/11/19,45,PM2.5,IS 74,36-005-0112,AQS,6,38,.,45,45
1/12/19,43,PM2.5,HOLTSVILLE,36-103-0009,AQS,6,35,6,43,33
1/13/19,42,PM2.5,PS 19,36-061-0128,AQS,6,35,.,42,23
1/14/19,52,NO2,Elizabeth Lab,34-039-0004,AQS,8,33,.,42,52
1/15/19,63,NO2,Newark Firehouse,34-013-0003,AQS,13,30,29,59,63
1/16/19,67,PM2.5,Jersey City Firehouse,34-017-1003,AQS,10,34,.,67,45
1/17/19,44,PM2.5,PS 19,36-061-0128,AQS,8,34,.,44,42
1/18/19,94,NO2,Fort Lee Near Road,34-003-0010,AQS,10,31,19,71,94
1/19/19,56,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,34,.,56,34
1/20/19,37,PM2.5,PS 19,36-061-0128,AQS,7,34,.,37,36
1/21/19,50,PM2.5,Intermediate School 143,36-061-0115,AQS,6,37,12,50,26
1/22/19,54,NO2,Fort Lee Near Road,34-003-0010,AQS,8,36,.,52,54
1/23/19,54,NO2,Newark Firehouse,34-013-0003,AQS,11,37,.,49,54
1/24/19,49,NO2,Newark Firehouse,34-013-0003,AQS,14,38,6,33,49
1/25/19,46,PM2.5,Intermediate School 143,36-061-0115,AQS,5,36,.,46,42
1/26/19,48,PM2.5,HOLTSVILLE,36-103-0009,AQS,8,35,.,48,41
1/27/19,51,PM2.5,Flemington,34-019-0001,AQS,16,41,15,51,50
1/28/19,54,PM2.5,PS 19,36-061-0128,AQS,8,36,.,54,42
1/29/19,69,NO2,Fort Lee Near Road,34-003-0010,AQS,17,35,.,60,69
1/30/19,54,PM2.5,Intermediate School 143,36-061-0115,AQS,9,37,13,54,32
1/31/19,49,PM2.5,Intermediate School 143,36-061-0115,AQS,10,33,.,49,45
2/1/19,53,NO2,Fort Lee Near Road,34-003-0010,AQS,11,35,.,51,53
2/2/19,80,PM2.5,Flemington,34-019-0001,AQS,10,32,31,80,49
2/3/19,92,PM2.5,Fort Lee Near Road,34-003-0010,AQS,13,41,.,92,51
2/4/19,83,PM2.5,IS 52,36-005-0110,AQS,16,38,.,83,65
2/5/19,81,PM2.5,Jersey City Firehouse,34-017-1003,AQS,18,36,.,81,68
2/6/19,80,NO2,Fort Lee Near Road,34-003-0010,AQS,7,28,.,42,80
2/7/19,51,PM2.5,Elizabeth Lab,34-039-0004,AQS,7,25,.,51,41
2/8/19,43,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,35,9,43,37
2/9/19,37,Ozone,MILLBROOK,36-027-0007,AQS,5,37,.,35,15
2/10/19,35,Ozone,MILLBROOK,36-027-0007,AQS,6,35,.,30,30
2/11/19,58,PM2.5,Rutgers University,34-023-0011,AQS,10,35,18,58,46
2/12/19,63,NO2,Fort Lee Near Road,34-003-0010,AQS,8,40,.,42,63
2/13/19,42,PM2.5,Intermediate School 143,36-061-0115,AQS,9,38,.,42,41
2/14/19,51,NO2,Newark Firehouse,34-013-0003,AQS,8,44,15,50,51
2/15/19,68,NO2,Fort Lee Near Road,34-003-0010,AQS,10,43,.,63,68
2/16/19,39,PM2.5,PS 19,36-061-0128,AQS,8,38,.,39,19
2/17/19,40,Ozone,MILLBROOK,36-027-0007,AQS,8,40,.,30,27
2/18/19,42,NO2,Bayonne,34-017-0006,AQS,10,41,.,41,42
2/19/19,42,Ozone,MILLBROOK,36-027-0007,AQS,7,42,.,40,35
2/20/19,91,NO2,Fort Lee Near Road,34-003-0010,AQS,7,38,14,57,91
2/21/19,60,NO2,Fort Lee Near Road,34-003-0010,AQS,7,42,.,44,60
2/22/19,52,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,46,.,52,37
2/23/19,51,PM2.5,Paterson,34-031-0005,AQS,8,41,11,51,37
2/24/19,47,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,43,.,47,39
2/25/19,45,PM2.5,Intermediate School 143,36-061-0115,AQS,3,43,.,45,17
2/26/19,42,NO2,Fort Lee Near Road,34-003-0010,AQS,3,41,9,38,42
2/27/19,103,NO2,Fort Lee Near Road,34-003-0010,AQS,9,37,.,30,103
2/28/19,54,NO2,Fort Lee Near Road,34-003-0010,AQS,8,41,.,53,54
3/1/19,94,NO2,Fort Lee Near Road,34-003-0010,AQS,8,41,15,66,94
3/2/19,52,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,43,.,52,35
3/3/19,60,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,47,.,60,58
3/4/19,47,Ozone,Rutgers University,34-023-0011,AQS,11,47,10,38,42
3/5/19,51,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,42,.,51,42
3/6/19,49,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,43,.,49,31
3/7/19,56,PM2.5,Rahway,34-039-2003,AQS,8,44,17,56,44
3/8/19,71,NO2,Elizabeth Lab,34-039-0004,AQS,16,46,.,66,71
3/9/19,81,PM2.5,Jersey City Firehouse,34-017-1003,AQS,8,58,.,81,49
3/10/19,59,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,49,16,59,51
3/11/19,48,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,48,.,48,47
3/12/19,45,Ozone,Colliers Mills,34-029-0006,AQS,5,45,.,36,39
3/13/19,64,NO2,Bayonne,34-017-0006,AQS,10,47,19,56,64
3/14/19,56,NO2,Newark Firehouse,34-013-0003,AQS,8,54,.,54,56
3/15/19,64,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,51,.,64,54
3/16/19,43,Ozone,Flemington,34-019-0001,AQS,3,43,6,39,15
3/17/19,44,Ozone,RIVERHEAD,36-103-0004,AQS,5,44,.,36,38
3/18/19,64,NO2,Bayonne,34-017-0006,AQS,9,43,.,33,64
3/19/19,54,NO2,Newark Firehouse,34-013-0003,AQS,11,44,8,42,54
3/20/19,61,PM2.5,Fort Lee Near Road,34-003-0010,AQS,11,49,.,61,61
3/21/19,52,NO2,Elizabeth Lab,34-039-0004,AQS,13,45,.,48,52
3/22/19,44,Ozone,Chester,34-027-3001,AQS,6,44,6,23,26
3/23/19,44,Ozone,RIVERHEAD,36-103-0004,AQS,3,44,.,26,23
3/24/19,50,Ozone,Chester,34-027-3001,AQS,5,50,.,31,42
3/25/19,45,NO2,Queens College Near Road,36-081-0125,AQS,6,44,9,43,45
3/26/19,44,Ozone,RIVERHEAD,36-103-0004,AQS,5,44,.,27,26
3/27/19,45,Ozone,Colliers Mills,34-029-0006,AQS,6,45,.,35,42
