Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
3/28/19,55,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,47,23,55,53
3/29/19,59,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,44,.,59,57
3/30/19,72,PM2.5,Elizabeth Lab,34-039-0004,AQS,16,71,.,72,56
3/31/19,100,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,45,15,100,43
4/1/19,46,NO2,Bayonne,34-017-0006,AQS,6,43,.,26,46
4/2/19,60,NO2,Newark Firehouse,34-013-0003,AQS,15,46,.,34,60
4/3/19,54,Ozone,RIVERHEAD,36-103-0004,AQS,7,54,22,46,47
4/4/19,49,Ozone,Colliers Mills,34-029-0006,AQS,9,49,.,32,43
4/5/19,41,Ozone,RIVERHEAD,36-103-0004,AQS,8,41,.,40,40
4/6/19,53,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,49,7,53,40
4/7/19,64,Ozone,Flemington,34-019-0001,AQS,11,64,.,53,50
4/8/19,61,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,51,.,61,58
4/9/19,65,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,38,20,65,37
4/10/19,38,Ozone,Colliers Mills,34-029-0006,AQS,7,38,.,36,35
4/11/19,44,NO2,Fort Lee Near Road,34-003-0010,AQS,7,42,.,38,44
4/12/19,51,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,46,19,51,47
4/13/19,53,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,47,.,53,46
4/14/19,54,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,44,.,54,32
4/15/19,46,NO2,Jersey City,34-017-1002,AQS,7,45,9,43,46
4/16/19,49,Ozone,Colliers Mills,34-029-0006,AQS,5,49,.,27,34
4/17/19,47,Ozone,MT NINHAM,36-079-0005,AQS,9,47,.,31,47
4/18/19,58,Ozone,Colliers Mills,34-029-0006,AQS,10,58,26,53,57
4/19/19,56,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,45,.,56,37
4/20/19,52,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,45,.,52,26
4/21/19,44,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,44,16,44,34
4/22/19,41,Ozone,RIVERHEAD,36-103-0004,AQS,7,41,.,38,37
4/23/19,61,Ozone,Colliers Mills,34-029-0006,AQS,5,61,.,43,53
4/24/19,44,Ozone,Colliers Mills,34-029-0006,AQS,5,44,9,29,29
4/25/19,44,Ozone,MILLBROOK,36-027-0007,AQS,7,44,.,43,38
4/26/19,45,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,44,.,45,38
4/27/19,47,Ozone,Colliers Mills,34-029-0006,AQS,5,47,8,28,25
4/28/19,36,Ozone,Chester,34-027-3001,AQS,7,36,.,35,29
4/29/19,44,Ozone,RIVERHEAD,36-103-0004,AQS,6,44,.,34,40
4/30/19,62,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,46,13,62,40
5/1/19,46,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,41,.,46,33
5/2/19,62,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,45,.,62,44
5/3/19,67,PM2.5,Paterson,34-031-0005,AQS,9,39,26,67,42
5/4/19,81,PM2.5,Elizabeth Lab,34-039-0004,AQS,14,35,.,81,42
5/5/19,40,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,35,.,40,27
5/6/19,68,PM2.5,Paterson,34-031-0005,AQS,7,44,10,68,31
5/7/19,54,Ozone,Rutgers University,34-023-0011,AQS,6,54,.,43,41
5/8/19,48,NO2,Fort Lee Near Road,34-003-0010,AQS,6,42,.,43,48
5/9/19,51,PM2.5,Jersey City Firehouse,34-017-1003,AQS,5,41,19,51,39
5/10/19,54,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,42,.,54,39
5/11/19,52,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,43,.,52,25
5/12/19,40,Ozone,RIVERHEAD,36-103-0004,AQS,8,40,4,25,21
5/13/19,53,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,43,.,53,35
5/14/19,46,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,30,.,46,29
5/15/19,42,Ozone,Chester,34-027-3001,AQS,7,42,9,38,40
5/16/19,58,Ozone,Colliers Mills,34-029-0006,AQS,10,58,.,45,55
5/17/19,67,Ozone,Colliers Mills,34-029-0006,AQS,11,67,.,60,54
5/18/19,50,Ozone,Colliers Mills,34-029-0006,AQS,5,50,.,42,31
5/19/19,61,Ozone,Rockland County,36-087-0005,AQS,6,61,.,51,41
5/20/19,77,Ozone,Colliers Mills,34-029-0006,AQS,9,77,.,54,41
5/21/19,37,Ozone,Colliers Mills,34-029-0006,AQS,3,37,13,28,18
5/22/19,47,Ozone,FRESHKILLS WEST,36-085-0111,AQS,5,47,.,40,33
5/23/19,45,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,42,.,45,31
5/24/19,48,PM2.5,Elizabeth Lab,34-039-0004,AQS,7,46,11,48,23
5/25/19,44,Ozone,MILLBROOK,36-027-0007,AQS,5,44,.,26,20
5/26/19,51,Ozone,BABYLON,36-103-0002,AQS,6,51,.,48,29
5/27/19,44,Ozone,Monmouth University,34-025-0005,AQS,6,44,13,40,34
5/28/19,56,PM2.5,Elizabeth Lab,34-039-0004,AQS,10,37,.,56,46
5/29/19,55,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,33,.,55,35
5/30/19,56,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,35,16,56,38
5/31/19,100,Ozone,RIVERHEAD,36-103-0004,AQS,7,100,.,57,42
6/1/19,71,Ozone,Rockland County,36-087-0005,AQS,10,71,.,59,38
6/2/19,74,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,7,74,23,66,34
6/3/19,40,Ozone,Colliers Mills,34-029-0006,AQS,5,40,.,32,27
6/4/19,45,Ozone,Colliers Mills,34-029-0006,AQS,3,45,.,28,34
6/5/19,97,Ozone,Rutgers University,34-023-0011,AQS,6,97,19,62,44
6/6/19,61,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,6,61,.,52,28
6/7/19,67,Ozone,Rutgers University,34-023-0011,AQS,7,67,.,55,51
6/8/19,61,Ozone,Flemington,34-019-0001,AQS,7,61,19,51,53
6/9/19,47,Ozone,Ramapo,34-031-5001,AQS,6,47,.,33,24
6/10/19,40,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,31,.,40,25
6/11/19,39,Ozone,Colliers Mills,34-029-0006,AQS,8,39,7,38,25
6/12/19,43,Ozone,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,6,43,.,40,36
6/13/19,40,Ozone,RIVERHEAD,36-103-0004,AQS,7,40,.,26,38
6/14/19,37,Ozone,HOLTSVILLE,36-103-0009,AQS,7,37,11,36,30
6/15/19,67,Ozone,Leonia,34-003-0006,AQS,6,67,.,38,31
6/16/19,60,PM2.5,Newark Firehouse,34-013-0003,AQS,6,50,.,60,25
6/17/19,54,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,44,15,54,41
6/18/19,68,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,43,.,68,46
6/19/19,54,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,38,.,54,33
6/20/19,55,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,36,16,55,32
6/21/19,39,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,31,.,39,29
6/22/19,37,PM2.5,Jersey City Firehouse,34-017-1003,AQS,3,28,.,37,19
6/23/19,40,Ozone,Colliers Mills,34-029-0006,AQS,5,40,6,29,22
6/24/19,67,Ozone,Rutgers University,34-023-0011,AQS,6,67,.,50,37
6/25/19,61,PM2.5,PS 19,36-061-0128,AQS,6,44,.,61,42
6/26/19,108,Ozone,BABYLON,36-103-0002,AQS,5,108,16,55,54
6/27/19,105,Ozone,BABYLON,36-103-0002,AQS,6,105,.,59,41
6/28/19,150,Ozone,Leonia,34-003-0006,AQS,6,150,.,53,44
6/29/19,126,Ozone,RIVERHEAD,36-103-0004,AQS,6,126,16,67,31
6/30/19,46,PM2.5,Fort Lee Near Road,34-003-0010,AQS,5,40,.,46,21
7/1/19,47,Ozone,Monmouth University,34-025-0005,AQS,5,47,.,41,26
7/2/19,150,Ozone,Colliers Mills,34-029-0006,AQS,7,150,22,59,35
7/3/19,129,Ozone,BABYLON,36-103-0002,AQS,7,129,.,62,46
7/4/19,122,Ozone,Ramapo,34-031-5001,AQS,8,122,.,83,46
7/5/19,100,Ozone,Rockland County,36-087-0005,AQS,6,100,15,73,30
7/6/19,58,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,49,.,58,32
7/7/19,53,PM2.5,Elizabeth Lab,34-039-0004,AQS,5,38,.,53,19
7/8/19,54,PM2.5,Paterson,34-031-0005,AQS,6,40,20,54,38
7/9/19,100,Ozone,BABYLON,36-103-0002,AQS,6,100,.,56,42
7/10/19,112,Ozone,Rutgers University,34-023-0011,AQS,6,112,.,60,42
7/11/19,90,Ozone,MILLBROOK,36-027-0007,AQS,6,90,17,56,38
7/12/19,51,Ozone,RIVERHEAD,36-103-0004,AQS,7,51,.,40,21
7/13/19,80,Ozone,Colliers Mills,34-029-0006,AQS,7,80,.,46,23
7/14/19,64,Ozone,RIVERHEAD,36-103-0004,AQS,7,64,18,50,25
7/15/19,61,Ozone,BABYLON,36-103-0002,AQS,6,61,14,33,34
7/16/19,136,Ozone,Flax Pond,36-103-0044,AQS,8,136,.,55,42
7/17/19,108,Ozone,Flax Pond,36-103-0044,AQS,7,108,19,65,37
7/18/19,53,PM2.5,Elizabeth Lab,34-039-0004,AQS,7,45,.,53,43
7/19/19,93,Ozone,WHITE PLAINS,36-119-2004,AQS,6,93,.,63,31
7/20/19,97,Ozone,BABYLON,36-103-0002,AQS,6,97,23,61,28
7/21/19,84,Ozone,BABYLON,36-103-0002,AQS,6,84,.,58,22
7/22/19,71,Ozone,Flemington,34-019-0001,AQS,6,71,.,46,34
7/23/19,31,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,31,6,31,25
7/24/19,54,Ozone,Monmouth University,34-025-0005,AQS,9,54,.,41,35
7/25/19,58,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,9,58,.,52,36
7/26/19,108,Ozone,Leonia,34-003-0006,AQS,9,108,19,56,37
7/27/19,93,Ozone,Leonia,34-003-0006,AQS,9,93,.,56,46
7/28/19,129,Ozone,Flax Pond,36-103-0044,AQS,6,129,.,63,23
7/29/19,150,Ozone,Flax Pond,36-103-0044,AQS,7,150,20,71,40
7/30/19,105,Ozone,Leonia,34-003-0006,AQS,7,105,.,74,42
7/31/19,74,Ozone,Leonia,34-003-0006,AQS,7,74,.,66,43
8/1/19,84,Ozone,Rutgers University,34-023-0011,AQS,7,84,18,55,50
8/2/19,80,Ozone,Rockland County,36-087-0005,AQS,8,80,.,60,47
8/3/19,87,Ozone,Leonia,34-003-0006,AQS,6,87,.,52,27
8/4/19,90,Ozone,Monmouth University,34-025-0005,AQS,8,90,11,45,38
8/5/19,80,Ozone,Ramapo,34-031-5001,AQS,10,80,.,52,29
8/6/19,61,Ozone,Flemington,34-019-0001,AQS,8,61,.,60,37
8/7/19,58,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,47,21,58,37
8/8/19,97,Ozone,Flax Pond,36-103-0044,AQS,7,97,.,54,42
8/9/19,51,Ozone,Colliers Mills,34-029-0006,AQS,7,51,.,42,37
8/10/19,37,Ozone,Colliers Mills,34-029-0006,AQS,7,37,7,32,26
8/11/19,38,Ozone,Monmouth University,34-025-0005,AQS,6,38,.,28,31
8/12/19,67,Ozone,Flax Pond,36-103-0044,AQS,7,67,.,44,38
8/13/19,70,PM2.5,Elizabeth Lab,34-039-0004,AQS,7,44,20,70,34
8/14/19,71,PM2.5,Fort Lee Near Road,34-003-0010,AQS,11,47,.,71,47
8/15/19,59,PM2.5,Fort Lee Near Road,34-003-0010,AQS,11,47,.,59,37
8/16/19,51,PM2.5,Toms River,34-029-2002,AQS,7,48,16,51,34
8/17/19,71,Ozone,Ramapo,34-031-5001,AQS,15,71,.,49,28
8/18/19,56,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,54,.,56,32
8/19/19,71,Ozone,Flax Pond,36-103-0044,AQS,8,71,27,52,34
8/20/19,90,Ozone,Leonia,34-003-0006,AQS,6,90,.,50,35
8/21/19,59,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,54,.,59,38
8/22/19,97,Ozone,BABYLON,36-103-0002,AQS,8,97,11,48,27
8/23/19,37,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,33,.,37,31
8/24/19,37,Ozone,Monmouth University,34-025-0005,AQS,9,37,.,25,28
8/25/19,29,Ozone,Rutgers University,34-023-0011,AQS,13,29,8,27,13
8/26/19,42,Ozone,Flemington,34-019-0001,AQS,8,42,.,30,22
8/27/19,42,Ozone,Rockland County,36-087-0005,AQS,7,42,.,41,32
8/28/19,40,PM2.5,Newark Firehouse,34-013-0003,AQS,11,31,.,40,32
8/29/19,44,Ozone,Colliers Mills,34-029-0006,AQS,11,44,.,32,36
8/30/19,84,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,10,84,.,48,33
8/31/19,80,Ozone,Colliers Mills,34-029-0006,AQS,10,80,12,39,36
9/1/19,40,Ozone,Flemington,34-019-0001,AQS,6,40,.,31,14
9/2/19,42,PM2.5,Fort Lee Near Road,34-003-0010,AQS,5,35,.,42,26
9/3/19,58,Ozone,Flemington,34-019-0001,AQS,6,58,11,46,41
9/4/19,54,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,51,.,54,36
9/5/19,40,NO2,Newark Firehouse,34-013-0003,AQS,7,35,.,28,40
9/6/19,35,PM2.5,Fort Lee Near Road,34-003-0010,AQS,10,31,11,35,33
9/7/19,36,Ozone,Colliers Mills,34-029-0006,AQS,5,36,.,30,28
9/8/19,42,Ozone,Monmouth University,34-025-0005,AQS,7,42,.,37,26
9/9/19,42,Ozone,Rockland County,36-087-0005,AQS,7,42,10,31,37
9/10/19,40,PM2.5,Fort Lee Near Road,34-003-0010,AQS,11,40,.,40,34
9/11/19,80,Ozone,Rutgers University,34-023-0011,AQS,6,80,.,55,45
9/12/19,57,PM2.5,Elizabeth Lab,34-039-0004,AQS,10,45,16,57,38
9/13/19,30,PM2.5,Elizabeth Lab,34-039-0004,AQS,5,30,.,30,24
9/14/19,43,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,33,.,43,27
9/15/19,54,Ozone,BABYLON,36-103-0002,AQS,6,54,9,40,41
9/16/19,45,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,44,.,45,42
9/17/19,43,Ozone,Colliers Mills,34-029-0006,AQS,9,43,.,31,34
9/18/19,34,NO2,Jersey City,34-017-1002,AQS,9,32,15,31,34
9/19/19,46,NO2,Newark Firehouse,34-013-0003,AQS,8,42,.,40,46
9/20/19,74,Ozone,Flax Pond,36-103-0044,AQS,6,74,.,51,45
9/21/19,84,Ozone,Bayonne,34-017-0006,AQS,7,84,31,55,48
9/22/19,101,Ozone,MT NINHAM,36-079-0005,AQS,9,101,.,66,40
9/23/19,100,Ozone,Rutgers University,34-023-0011,AQS,6,100,.,62,39
9/24/19,41,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,33,11,41,29
9/25/19,48,Ozone,Flemington,34-019-0001,AQS,6,48,.,36,48
9/26/19,53,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,45,.,53,45
9/27/19,42,Ozone,Flemington,34-019-0001,AQS,7,42,12,41,35
9/28/19,57,PM2.5,Newark Firehouse,34-013-0003,AQS,6,50,.,57,33
9/29/19,40,Ozone,Monmouth University,34-025-0005,AQS,8,40,.,36,34
9/30/19,31,Ozone,MT NINHAM,36-079-0005,AQS,5,31,15,29,26
10/1/19,46,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,46,.,46,29
10/2/19,58,Ozone,Colliers Mills,34-029-0006,AQS,5,58,.,56,33
10/3/19,30,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,24,6,30,25
10/4/19,44,NO2,Fort Lee Near Road,34-003-0010,AQS,6,31,.,28,44
10/5/19,39,PM2.5,Fort Lee Near Road,34-003-0010,AQS,5,32,.,39,21
10/6/19,42,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,35,16,42,31
10/7/19,36,Ozone,Rutgers University,34-023-0011,AQS,5,36,.,33,33
10/8/19,31,Ozone,RIVERHEAD,36-103-0004,AQS,5,31,.,30,27
10/9/19,29,PM2.5,Elizabeth Lab,34-039-0004,AQS,5,21,6,29,21
10/10/19,39,PM2.5,Fort Lee Near Road,34-003-0010,AQS,3,35,.,39,24
10/11/19,34,Ozone,Flemington,34-019-0001,AQS,5,34,.,22,21
10/12/19,39,NO2,Jersey City,34-017-1002,AQS,7,33,10,30,39
10/13/19,33,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,33,.,33,25
10/14/19,45,PM2.5,Fort Lee Near Road,34-003-0010,AQS,5,44,.,45,38
10/15/19,39,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,34,10,39,36
10/16/19,44,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,7,44,.,43,41
10/17/19,43,PM2.5,Elizabeth Lab,34-039-0004,AQS,5,31,.,43,15
10/18/19,29,Ozone,Chester,34-027-3001,AQS,3,29,5,20,23
10/19/19,39,NO2,IS 52,36-005-0110,AQS,8,33,.,38,39
10/20/19,66,PM2.5,Elizabeth Lab,34-039-0004,AQS,14,38,.,66,42
10/21/19,44,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,39,14,44,43
10/22/19,43,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,31,.,43,42
10/23/19,56,NO2,Elizabeth Lab,34-039-0004,AQS,6,38,.,47,56
10/24/19,56,NO2,Jersey City,34-017-1002,AQS,9,40,19,43,56
10/25/19,82,NO2,Jersey City,34-017-1002,AQS,14,37,.,58,82
10/26/19,43,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,33,.,43,30
10/27/19,35,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,6,35,7,33,23
10/28/19,32,NO2,Jersey City,34-017-1002,AQS,6,31,.,30,32
10/29/19,37,NO2,Elizabeth Lab,34-039-0004,AQS,9,31,.,30,37
10/30/19,45,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,31,10,45,34
10/31/19,44,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,35,.,44,31
11/1/19,31,PM2.5,Elizabeth Lab,34-039-0004,AQS,3,31,.,31,22
11/2/19,40,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,29,7,40,31
11/3/19,41,PM2.5,Flemington,34-019-0001,AQS,7,31,.,41,32
11/4/19,64,NO2,Jersey City,34-017-1002,AQS,10,31,.,48,64
11/5/19,61,NO2,Jersey City,34-017-1002,AQS,10,30,19,46,61
11/6/19,45,NO2,Jersey City,34-017-1002,AQS,7,33,.,44,45
11/7/19,56,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,31,.,56,43
11/8/19,30,NO2,Fort Lee Near Road,34-003-0010,AQS,3,27,.,22,30
11/9/19,36,NO2,Jersey City,34-017-1002,AQS,7,25,.,35,36
11/10/19,66,PM2.5,Newark Firehouse,34-013-0003,AQS,13,31,.,66,42
11/11/19,87,PM2.5,Newark Firehouse,34-013-0003,AQS,15,37,31,87,52
11/12/19,40,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,33,.,40,33
11/13/19,35,Ozone,MT NINHAM,36-079-0005,AQS,5,35,.,23,34
11/14/19,55,NO2,Bayonne,34-017-0006,AQS,14,28,.,49,55
11/15/19,62,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,31,.,62,46
11/16/19,33,PM2.5,Elizabeth Lab,34-039-0004,AQS,5,33,.,33,25
11/17/19,36,NO2,Queens College Near Road,36-081-0125,AQS,3,31,10,25,36
11/18/19,38,PM2.5,Newark Firehouse,34-013-0003,AQS,6,29,.,38,33
