Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
1/1/17,59,PM2.5,Intermediate School 143,36-061-0115,AQS,11,34,11,59,44
1/2/17,60,PM2.5,Elizabeth Lab,34-039-0004,AQS,13,33,.,60,43
1/3/17,43,PM2.5,PS 19,36-061-0128,AQS,7,32,.,43,42
1/4/17,46,PM2.5,PS 19,36-061-0128,AQS,6,32,7,46,27
1/5/17,49,PM2.5,FRESHKILLS WEST,36-085-0111,AQS,6,32,.,49,28
1/6/17,53,PM2.5,Intermediate School 143,36-061-0115,AQS,9,31,.,53,28
1/7/17,53,PM2.5,PS 19,36-061-0128,AQS,8,32,16,53,24
1/8/17,54,PM2.5,Intermediate School 143,36-061-0115,AQS,7,33,.,54,22
1/9/17,62,NO2,Fort Lee Near Road,34-003-0010,AQS,8,30,.,52,62
1/10/17,57,PM2.5,Newark Firehouse,34-013-0003,AQS,11,36,24,57,57
1/11/17,54,PM2.5,PS 19,36-061-0128,AQS,10,34,.,54,42
1/12/17,56,PM2.5,Intermediate School 143,36-061-0115,AQS,9,31,.,56,41
1/13/17,44,PM2.5,PS 19,36-061-0128,AQS,6,40,13,44,25
1/14/17,44,PM2.5,PS 19,36-061-0128,AQS,8,31,.,44,42
1/15/17,58,PM2.5,Flemington,34-019-0001,AQS,6,36,.,58,38
1/16/17,62,PM2.5,Jersey City Firehouse,34-017-1003,AQS,10,31,21,62,47
1/17/17,81,PM2.5,Elizabeth Lab,34-039-0004,AQS,14,24,.,81,45
1/18/17,53,PM2.5,PS 19,36-061-0128,AQS,9,31,.,53,44
1/19/17,49,PM2.5,MORRISANIA,36-005-0080,AQS,10,24,11,49,36
1/20/17,56,PM2.5,FRESHKILLS WEST,36-085-0111,AQS,10,23,.,56,37
1/21/17,64,PM2.5,QUEENS COLLEGE 2,36-081-0124,AQS,9,13,.,64,31
1/22/17,67,PM2.5,Jersey City Firehouse,34-017-1003,AQS,13,26,19,67,35
1/23/17,36,Ozone,HOLTSVILLE,36-103-0009,AQS,8,36,.,34,26
1/24/17,36,Ozone,HOLTSVILLE,36-103-0009,AQS,5,36,.,30,30
1/25/17,44,NO2,IS 52,36-005-0110,AQS,8,32,10,38,44
1/26/17,63,PM2.5,NEWBURGH,36-071-0002,AQS,10,35,.,63,47
1/27/17,38,PM2.5,Intermediate School 143,36-061-0115,AQS,6,30,.,38,23
1/28/17,36,PM2.5,Newark Firehouse,34-013-0003,AQS,6,28,.,36,29
1/29/17,52,PM2.5,HOLTSVILLE,36-103-0009,AQS,7,32,.,52,38
1/30/17,42,NO2,Elizabeth Lab,34-039-0004,AQS,7,38,.,41,42
1/31/17,63,NO2,Fort Lee Near Road,34-003-0010,AQS,11,31,15,56,63
2/1/17,55,NO2,IS 52,36-005-0110,AQS,10,37,18,52,55
2/2/17,45,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,36,.,45,42
2/3/17,45,PM2.5,MORRISANIA,36-005-0080,AQS,5,38,8,45,36
2/4/17,85,PM2.5,Toms River,34-029-2002,AQS,6,40,.,85,31
2/5/17,61,PM2.5,Flemington,34-019-0001,AQS,7,33,.,61,35
2/6/17,89,PM2.5,Toms River,34-029-2002,AQS,8,39,22,89,49
2/7/17,85,PM2.5,Elizabeth Lab,34-039-0004,AQS,13,30,.,85,53
2/8/17,63,PM2.5,Elizabeth Lab,34-039-0004,AQS,14,32,.,63,54
2/9/17,38,Ozone,Flemington,34-019-0001,AQS,8,38,5,34,30
2/10/17,40,NO2,Fort Lee Near Road,34-003-0010,AQS,5,38,.,38,40
2/11/17,62,PM2.5,Intermediate School 143,36-061-0115,AQS,15,34,.,62,55
2/12/17,57,PM2.5,Elizabeth Lab,34-039-0004,AQS,17,31,16,57,47
2/13/17,58,PM2.5,NEWBURGH,36-071-0002,AQS,7,35,.,58,28
2/14/17,78,PM2.5,NEWBURGH,36-071-0002,AQS,7,39,.,78,50
2/15/17,63,NO2,Bayonne,34-017-0006,AQS,16,39,17,62,63
2/16/17,41,PM2.5,PS 19,36-061-0128,AQS,3,34,.,41,21
2/17/17,66,PM2.5,NEWBURGH,36-071-0002,AQS,5,42,.,66,47
2/18/17,82,PM2.5,NEWBURGH,36-071-0002,AQS,10,51,26,82,56
2/19/17,60,PM2.5,PS 19,36-061-0128,AQS,8,47,.,60,56
2/20/17,55,PM2.5,NEWBURGH,36-071-0002,AQS,8,44,.,55,25
2/21/17,75,PM2.5,NEWBURGH,36-071-0002,AQS,7,44,.,75,51
2/22/17,62,PM2.5,Rahway,34-039-2003,AQS,9,37,.,62,55
2/23/17,79,PM2.5,Jersey City Firehouse,34-017-1003,AQS,14,41,.,79,60
2/24/17,51,NO2,IS 52,36-005-0110,AQS,13,44,25,49,51
2/25/17,40,Ozone,Flemington,34-019-0001,AQS,6,40,.,32,34
2/26/17,38,PM2.5,PS 19,36-061-0128,AQS,3,36,.,38,24
2/27/17,53,PM2.5,PS 19,36-061-0128,AQS,6,41,12,53,46
2/28/17,57,PM2.5,Elizabeth Lab,34-039-0004,AQS,11,43,.,57,53
3/1/17,52,PM2.5,Intermediate School 143,36-061-0115,AQS,8,38,.,52,42
3/2/17,44,Ozone,Leonia,34-003-0006,AQS,3,44,19,41,21
3/3/17,55,PM2.5,PS 19,36-061-0128,AQS,3,40,.,55,26
