Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
9/4/18,71,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,6,71,.,49,40
9/5/18,101,Ozone,Rockland County,36-087-0005,AQS,7,101,21,60,41
9/6/18,97,Ozone,Flax Pond,36-103-0044,AQS,6,97,.,66,36
9/7/18,51,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,30,.,51,31
9/8/18,34,PM2.5,PS 19,36-061-0128,AQS,6,29,9,34,16
9/9/18,27,PM2.5,Fort Lee Near Road,34-003-0010,AQS,5,26,.,27,22
9/10/18,31,Ozone,RIVERHEAD,36-103-0004,AQS,5,31,.,20,28
9/11/18,61,PM2.5,FRESHKILLS WEST,36-085-0111,AQS,10,29,23,61,39
9/12/18,57,PM2.5,Elizabeth Lab,34-039-0004,AQS,10,18,.,57,30
9/13/18,32,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,27,.,32,27
9/14/18,33,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,28,9,33,27
9/15/18,50,Ozone,Rutgers University,34-023-0011,AQS,7,50,.,44,33
9/16/18,50,Ozone,Leonia,34-003-0006,AQS,10,50,.,48,29
9/17/18,41,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,34,19,41,34
9/18/18,31,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,29,.,31,29
9/19/18,49,PM2.5,FRESHKILLS WEST,36-085-0111,AQS,6,41,.,49,26
9/20/18,40,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,29,10,40,28
9/21/18,36,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,31,.,36,26
9/22/18,31,PM2.5,Flemington,34-019-0001,AQS,6,28,.,31,19
9/23/18,32,PM2.5,FRESHKILLS WEST,36-085-0111,AQS,6,26,11,32,24
9/24/18,35,PM2.5,FRESHKILLS WEST,36-085-0111,AQS,7,31,.,35,25
9/25/18,42,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,31,.,42,31
9/26/18,43,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,31,11,43,25
9/27/18,52,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,34,.,52,31
9/28/18,35,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,25,.,35,27
9/29/18,41,Ozone,Colliers Mills,34-029-0006,AQS,9,41,17,35,25
9/30/18,40,PM2.5,Flemington,34-019-0001,AQS,7,37,.,40,23
10/1/18,60,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,49,.,60,53
10/2/18,55,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,42,15,55,39
10/3/18,42,NO2,Fort Lee Near Road,34-003-0010,AQS,5,33,.,33,42
10/4/18,64,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,47,.,64,49
10/5/18,43,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,28,16,43,28
10/6/18,36,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,34,.,36,19
10/7/18,51,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,30,.,51,42
10/8/18,50,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,20,13,50,32
10/9/18,47,PM2.5,Fort Lee Near Road,34-003-0010,AQS,11,29,.,47,32
10/10/18,47,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,31,.,47,31
10/11/18,33,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,23,14,33,32
10/12/18,44,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,31,.,44,24
10/13/18,34,PM2.5,Elizabeth Lab,34-039-0004,AQS,5,32,.,34,31
